init_time,track_id,sample,valid_time,lead_time,lat,lon,minimum_sea_level_pressure_hpa,maximum_sustained_wind_speed_knots,radius_of_maximum_winds_km,radius_34_knot_winds_ne_km,radius_34_knot_winds_se_km,radius_34_knot_winds_sw_km,radius_34_knot_winds_nw_km,radius_50_knot_winds_ne_km,radius_50_knot_winds_se_km,radius_50_knot_winds_sw_km,radius_50_knot_winds_nw_km,radius_64_knot_winds_ne_km,radius_64_knot_winds_se_km,radius_64_knot_winds_sw_km,radius_64_knot_winds_nw_km
2025-09-12 12:00:00,EP132025,30.0,2025-09-12 12:00:00,0 days 00:00:00,17.0,-101.3,1006.0,35.0,37.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2025-09-12 12:00:00,IO032025,30.0,2025-09-12 12:00:00,0 days 00:00:00,-7.8,60.7,1006.0,25.0,83.0,0.0,0.0,0.0,0.0,,,,,,,,
2025-09-12 12:00:00,EP132025,31.0,2025-09-12 12:00:00,0 days 00:00:00,17.0,-101.3,1006.0,35.0,37.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2025-09-12 12:00:00,IO032025,31.0,2025-09-12 12:00:00,0 days 00:00:00,-7.8,60.7,1006.0,25.0,83.0,0.0,0.0,0.0,0.0,,,,,,,,
2025-09-12 12:00:00,EP132025,32.0,2025-09-12 12:00:00,0 days 00:00:00,17.0,-101.3,1006.0,35.0,37.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2025-09-12 12:00:00,EP132025,32.0,2025-09-12 18:00:00,0 days 06:00:00,17.36,-103.78,1005.4,31.8,94.14079284667967,3.362935304641724,0.8258452415466309,1.254828929901123,3.1502552032470703,0.3145900666713714,0.0,0.0,0.2365219742059707,0.168116495013237,0.1823323965072631,0.1780428439378738,0.114079334
2025-09-12 12:00:00,IO032025,32.0,2025-09-12 12:00:00,0 days 00:00:00,-7.8,60.7,1006.0,25.0,83.0,0.0,0.0,0.0,0.0,,,,,,,,
2025-09-12 12:00:00,EP132025,33.0,2025-09-12 12:00:00,0 days 00:00:00,17.0,-101.3,1006.0,35.0,37.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2025-09-12 12:00:00,IO032025,33.0,2025-09-12 12:00:00,0 days 00:00:00,-7.8,60.7,1006.0,25.0,83.0,0.0,0.0,0.0,0.0,,,,,,,,
2025-09-12 12:00:00,EP132025,34.0,2025-09-12 12:00:00,0 days 00:00:00,17.0,-101.3,1006.0,35.0,37.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2025-09-12 12:00:00,IO032025,34.0,2025-09-12 12:00:00,0 days 00:00:00,-7.8,60.7,1006.0,25.0,83.0,0.0,0.0,0.0,0.0,,,,,,,,
2025-09-12 12:00:00,EP132025,35.0,2025-09-12 12:00:00,0 days 00:00:00,17.0,-101.3,1006.0,35.0,37.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2025-09-12 12:00:00,IO032025,35.0,2025-09-12 12:00:00,0 days 00:00:00,-7.8,60.7,1006.0,25.0,83.0,0.0,0.0,0.0,0.0,,,,,,,,
2025-09-12 12:00:00,EP132025,36.0,2025-09-12 12:00:00,0 days 00:00:00,17.0,-101.3,1006.0,35.0,37.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2025-09-12 12:00:00,EP132025,36.0,2025-09-12 18:00:00,0 days 06:00:00,17.41,-103.45,1006.7,29.4,86.4315185546875,4.109482288360596,3.2850918769836426,0.5069183707237244,4.696611404418945,0.1497796922922134,0.0517258942127227,0.0499037913978099,0.0598295331001281,0.1291551440954208,0.1327036172151565,0.2177484184503555,0.13881694
2025-09-12 12:00:00,IO032025,36.0,2025-09-12 12:00:00,0 days 00:00:00,-7.8,60.7,1006.0,25.0,83.0,0.0,0.0,0.0,0.0,,,,,,,,
2025-09-12 12:00:00,EP132025,37.0,2025-09-12 12:00:00,0 days 00:00:00,17.0,-101.3,1006.0,35.0,37.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2025-09-12 12:00:00,IO032025,37.0,2025-09-12 12:00:00,0 days 00:00:00,-7.8,60.7,1006.0,25.0,83.0,0.0,0.0,0.0,0.0,,,,,,,,
2025-09-12 12:00:00,EP132025,38.0,2025-09-12 12:00:00,0 days 00:00:00,17.0,-101.3,1006.0,35.0,37.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2025-09-12 12:00:00,IO032025,38.0,2025-09-12 12:00:00,0 days 00:00:00,-7.8,60.7,1006.0,25.0,83.0,0.0,0.0,0.0,0.0,,,,,,,,
2025-09-12 12:00:00,EP132025,39.0,2025-09-12 12:00:00,0 days 00:00:00,17.0,-101.3,1006.0,35.0,37.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2025-09-12 12:00:00,IO032025,39.0,2025-09-12 12:00:00,0 days 00:00:00,-7.8,60.7,1006.0,25.0,83.0,0.0,0.0,0.0,0.0,,,,,,,,
2025-09-12 12:00:00,EP132025,40.0,2025-09-12 12:00:00,0 days 00:00:00,17.0,-101.3,1006.0,35.0,37.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2025-09-12 12:00:00,IO032025,40.0,2025-09-12 12:00:00,0 days 00:00:00,-7.8,60.7,1006.0,25.0,83.0,0.0,0.0,0.0,0.0,,,,,,,,
2025-09-12 12:00:00,EP132025,41.0,2025-09-12 12:00:00,0 days 00:00:00,17.0,-101.3,1006.0,35.0,37.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
